ros_time_s,exec_index,target_index,buffer_lead,latency_ms,compute_ms,path_length,ik_counts,base_dx,base_dy,base_dz,base_disp_m,success
1773414297.553302,0,2,2,26.068,25.940,4.868794,40;40,0.000000,0.000000,0.000000,0.000000,1
1773414298.606309,1,3,2,30.494,30.370,5.086990,40;40,-0.000212,0.000003,0.000000,0.000212,1
1773414298.898533,2,4,2,31.026,30.911,4.961228,40;40,-0.000404,0.000006,0.000000,0.000404,1
1773414299.934961,3,5,2,27.482,27.373,4.882277,40;40,-0.001014,0.000015,0.000000,0.001015,1
1773414299.965205,4,6,2,28.172,28.047,5.075525,40;40,-0.001043,0.000016,0.000000,0.001044,1
1773414300.288851,5,7,2,27.304,27.206,4.949624,40;40,-0.001338,0.000020,0.000000,0.001338,1
1773414301.670410,6,8,2,26.878,26.770,4.801148,40;40,-0.002494,0.000037,0.000000,0.002494,1
1773414301.770843,7,9,2,26.926,26.820,5.022858,40;40,-0.002867,0.000043,0.000000,0.002867,1
1773414301.801085,8,10,2,28.243,28.124,5.020203,40;40,-0.002984,0.000045,0.000000,0.002985,1
1773414302.856963,9,11,2,25.581,25.472,4.863186,40;40,-0.003923,0.000059,0.000000,0.003923,1
1773414302.889117,10,12,2,30.136,30.024,6.896678,40;40,-0.003933,0.000059,0.000000,0.003933,1
1773414303.153590,11,13,2,28.196,28.078,5.575917,40;40,-0.004364,0.000065,0.000000,0.004365,1
1773414303.945705,12,14,2,30.407,30.298,6.662581,40;40,-0.004918,0.000074,0.000000,0.004919,1
1773414304.378085,13,15,2,30.757,30.642,4.887805,40;40,-0.005614,0.000084,0.000000,0.005615,1
1773414305.390476,14,16,2,28.367,28.259,6.333019,40;40,-0.006544,0.000098,0.000000,0.006545,1
1773414306.000197,15,17,2,28.815,28.709,7.450030,40;40,-0.007457,0.000111,0.000000,0.007458,1
1773414306.461678,16,18,2,28.422,28.305,4.919777,40;40,-0.007708,0.000115,0.000000,0.007709,1
1773414306.940973,17,19,2,27.678,27.569,4.828957,40;40,-0.008227,0.000123,0.000000,0.008228,1
1773414307.129627,18,20,2,28.264,28.131,4.801951,40;40,-0.008580,0.000128,0.000000,0.008581,1
1773414307.158793,19,21,2,27.331,27.221,4.805159,40;40,-0.008725,0.000130,0.000000,0.008726,1
1773414307.611185,20,22,2,27.432,27.328,6.307971,40;40,-0.008996,0.000134,0.000000,0.008997,1
1773414308.073852,21,23,2,30.194,30.071,7.543254,40;40,-0.009313,0.000139,0.000000,0.009314,1
1773414308.548223,22,24,2,26.896,26.789,4.875415,40;40,-0.009607,0.000143,0.000000,0.009608,1
1773414308.871629,23,25,2,27.601,27.453,8.954256,40;40,-0.010312,0.000154,0.000000,0.010313,1
1773414309.305298,24,26,2,26.815,26.677,8.044806,40;40,-0.010678,0.000159,0.000000,0.010679,1
1773414309.332524,25,27,2,25.289,25.154,7.644595,40;40,-0.010687,0.000159,0.000000,0.010689,1
1773414309.677582,26,28,2,31.792,31.676,6.604903,40;40,-0.011033,0.000165,0.000000,0.011034,1
1773414311.040403,27,29,2,29.066,28.957,4.902145,40;40,-0.012223,0.000182,0.000000,0.012224,1
1773414311.072566,28,30,2,30.152,30.039,7.227463,40;40,-0.012230,0.000183,0.000000,0.012231,1
1773414311.688787,29,31,2,29.437,29.331,7.565288,40;40,-0.013032,0.000195,0.000000,0.013033,1
1773414312.447969,30,32,2,28.753,28.628,7.548877,40;40,-0.013391,0.000200,0.000000,0.013392,1
1773414313.205408,31,33,2,32.200,32.086,7.540777,40;40,-0.014201,0.000212,0.000000,0.014202,1
1773414313.622747,32,34,2,27.396,27.262,4.874296,40;40,-0.014638,0.000219,0.000000,0.014640,1
1773414314.027879,33,35,2,26.552,26.407,4.870106,40;40,-0.015055,0.000225,0.000000,0.015056,1
1773414314.453687,34,36,2,26.668,26.561,4.934235,40;40,-0.015317,0.000229,0.000000,0.015319,1
1773414314.482547,35,37,2,26.773,26.646,4.916309,40;40,-0.015340,0.000229,0.000000,0.015342,1
1773414314.512669,36,38,2,27.141,27.030,4.918090,40;40,-0.015367,0.000230,0.000000,0.015369,1
1773414314.685414,37,39,2,26.205,26.101,4.940428,40;40,-0.015822,0.000236,0.000000,0.015824,1
1773414314.980350,38,40,2,29.170,29.065,9.103159,40;40,-0.016647,0.000249,0.000000,0.016649,1
1773414315.011485,39,41,2,29.176,29.071,5.010406,40;40,-0.016651,0.000249,0.000000,0.016653,1
1773414315.611841,40,42,2,26.696,26.593,4.952865,40;40,-0.016899,0.000253,0.000000,0.016901,1
1773414316.391004,41,43,2,27.293,27.181,4.895673,40;40,-0.017216,0.000258,0.000000,0.017217,1
1773414316.421553,42,44,2,28.664,28.552,7.099519,40;40,-0.017229,0.000258,0.000000,0.017231,1
1773414317.013986,43,45,2,28.892,28.741,9.116626,40;40,-0.018053,0.000271,0.000000,0.018055,1
1773414317.764642,44,46,2,29.501,29.393,9.121371,40;40,-0.018777,0.000282,0.000000,0.018779,1
1773414317.794852,45,47,2,28.373,28.268,4.938096,40;40,-0.018785,0.000282,0.000000,0.018787,1
1773414318.667332,46,48,2,26.002,25.900,4.979861,40;40,-0.019669,0.000296,0.000000,0.019671,1
1773414318.696170,47,49,2,26.169,26.058,4.934245,40;40,-0.019682,0.000296,0.000000,0.019684,1
