ros_time_s,exec_index,target_index,buffer_lead,latency_ms,compute_ms,path_length,ik_counts,base_dx,base_dy,base_dz,base_disp_m,success
1773407714.728206,0,2,2,2.883,2.777,4.979839,8;8,-0.000007,-0.000000,0.000000,0.000007,1
1773407714.733243,1,3,2,2.966,2.856,4.965302,8;8,-0.000007,-0.000000,0.000000,0.000007,1
1773407714.846987,2,4,2,2.455,2.361,4.961284,8;8,-0.000016,-0.000000,0.000000,0.000016,1
1773407715.272924,3,5,2,2.700,2.565,4.957258,8;8,-0.000243,-0.000001,0.000000,0.000243,1
1773407715.705191,4,6,2,2.768,2.657,4.953339,8;8,-0.000403,-0.000002,0.000000,0.000403,1
1773407716.137321,5,7,2,2.645,2.552,7.695195,8;8,-0.001122,-0.000005,0.000000,0.001122,1
1773407716.569413,6,8,2,3.051,2.963,4.946091,8;8,-0.001343,-0.000005,0.000000,0.001343,1
1773407717.038570,7,9,2,2.488,2.397,4.987457,8;8,-0.002029,-0.000008,0.000000,0.002029,1
1773407717.434850,8,10,2,2.645,2.537,4.940277,8;8,-0.002171,-0.000009,0.000000,0.002171,1
1773407717.905954,9,11,2,2.968,2.859,6.603375,8;8,-0.002885,-0.000012,0.000000,0.002885,1
1773407718.299811,10,12,2,3.209,2.995,4.936235,8;8,-0.003086,-0.000012,0.000000,0.003086,1
1773407718.769310,11,13,2,2.654,2.560,4.955049,8;8,-0.003788,-0.000015,0.000000,0.003788,1
1773407719.164920,12,14,2,2.935,2.829,5.598909,8;8,-0.003981,-0.000016,0.000000,0.003981,1
1773407719.634791,13,15,2,2.481,2.344,4.962464,8;8,-0.004533,-0.000018,0.000000,0.004533,1
1773407720.068156,14,16,2,3.271,3.161,4.966174,8;8,-0.004831,-0.000019,0.000000,0.004831,1
1773407720.500695,15,17,2,2.714,2.604,4.980288,8;8,-0.005047,-0.000020,0.000000,0.005047,1
1773407720.932531,16,18,2,2.742,2.569,4.945291,8;8,-0.005821,-0.000023,0.000000,0.005821,1
1773407720.936778,17,19,2,2.670,2.560,4.863176,8;8,-0.005821,-0.000023,0.000000,0.005821,1
1773407721.181239,18,20,2,2.362,2.269,4.826159,8;8,-0.006082,-0.000025,0.000000,0.006082,1
1773407721.186526,19,21,2,3.557,3.147,4.835806,8;8,-0.006082,-0.000025,0.000000,0.006082,1
1773407721.196214,20,22,2,2.326,2.228,4.849260,8;8,-0.006095,-0.000025,0.000000,0.006095,1
1773407721.527229,21,23,2,2.663,2.565,4.852324,8;8,-0.006523,-0.000026,0.000000,0.006524,1
1773407721.965231,22,24,2,3.367,3.260,9.159205,8;8,-0.006730,-0.000027,0.000000,0.006730,1
1773407722.413128,23,25,2,3.088,2.987,9.113085,8;8,-0.006935,-0.000028,0.000000,0.006935,1
1773407722.859079,24,26,2,2.675,2.559,8.001936,8;8,-0.007703,-0.000031,0.000000,0.007703,1
1773407723.344795,25,27,2,2.922,2.808,4.869426,8;8,-0.007909,-0.000032,0.000000,0.007909,1
1773407723.786539,26,28,2,2.600,2.500,6.648510,8;8,-0.008607,-0.000035,0.000000,0.008607,1
1773407724.236409,27,29,2,2.586,2.472,4.865168,8;8,-0.008827,-0.000036,0.000000,0.008827,1
1773407724.692508,28,30,2,2.687,2.516,6.607472,8;8,-0.009365,-0.000038,0.000000,0.009365,1
1773407725.131489,29,31,2,3.366,3.251,4.859993,8;8,-0.009729,-0.000039,0.000000,0.009729,1
1773407725.573091,30,32,2,3.223,3.111,7.413499,8;8,-0.010414,-0.000042,0.000000,0.010414,1
1773407726.024796,31,33,2,2.995,2.881,5.473140,8;8,-0.010626,-0.000043,0.000000,0.010626,1
1773407726.430536,32,34,2,2.758,2.645,4.873519,8;8,-0.011235,-0.000045,0.000000,0.011236,1
1773407726.876448,33,35,2,2.713,2.545,9.073446,8;8,-0.011443,-0.000046,0.000000,0.011443,1
1773407727.322222,34,36,2,2.556,2.456,4.866953,8;8,-0.011685,-0.000047,0.000000,0.011685,1
1773407727.326598,35,37,2,2.453,2.341,4.865687,8;8,-0.011719,-0.000047,0.000000,0.011719,1
1773407727.712420,36,38,2,2.724,2.628,4.918980,8;8,-0.012602,-0.000051,0.000000,0.012602,1
1773407727.716860,37,39,2,2.839,2.735,5.617077,8;8,-0.012602,-0.000051,0.000000,0.012602,1
1773407727.721429,38,40,2,2.524,2.436,7.448243,8;8,-0.012602,-0.000051,0.000000,0.012602,1
1773407727.900823,39,41,2,2.883,2.790,4.931479,8;8,-0.012848,-0.000052,0.000000,0.012848,1
1773407728.260139,40,42,2,2.506,2.408,4.932503,8;8,-0.013077,-0.000053,0.000000,0.013077,1
1773407728.700533,41,43,2,2.738,2.639,4.932752,8;8,-0.013277,-0.000054,0.000000,0.013277,1
1773407729.117982,42,44,2,2.377,2.274,7.639104,8;8,-0.013684,-0.000055,0.000000,0.013684,1
1773407729.557426,43,45,2,3.296,2.976,9.143688,8;8,-0.014047,-0.000057,0.000000,0.014047,1
1773407729.984808,44,46,2,3.017,2.885,9.144374,8;8,-0.014726,-0.000060,0.000000,0.014726,1
