ros_time_s,exec_index,target_index,buffer_lead,latency_ms,compute_ms,path_length,ik_counts,base_dx,base_dy,base_dz,base_disp_m,success
1773654991.127245,0,2,2,3.585,3.425,4.979840,8;8,-0.000001,-0.000000,0.000000,0.000001,1
1773654991.132628,1,3,2,3.026,2.927,4.965302,8;8,-0.000001,-0.000000,0.000000,0.000001,1
1773654991.231768,2,4,2,2.810,2.676,4.961286,8;8,-0.000001,-0.000000,0.000000,0.000001,1
1773654991.645858,3,5,2,2.618,2.478,4.957280,8;8,-0.000080,-0.000000,0.000000,0.000080,1
1773654992.073631,4,6,2,2.778,2.689,4.953365,8;8,-0.000191,-0.000000,0.000000,0.000191,1
1773654992.501606,5,7,2,2.798,2.705,4.949635,8;8,-0.000318,-0.000001,0.000000,0.000318,1
1773654992.929204,6,8,2,2.551,2.448,4.946162,8;8,-0.000509,-0.000001,0.000000,0.000509,1
1773654993.359957,7,9,2,3.100,2.901,7.734663,8;8,-0.001005,-0.000002,0.000000,0.001005,1
1773654993.791700,8,10,2,2.842,2.743,4.940283,8;8,-0.001242,-0.000002,0.000000,0.001242,1
1773654994.228050,9,11,2,2.927,2.820,4.982114,8;8,-0.001738,-0.000003,0.000000,0.001738,1
1773654994.657699,10,12,2,2.857,2.749,4.936216,8;8,-0.002336,-0.000004,0.000000,0.002336,1
1773654995.097998,11,13,2,3.109,2.898,4.977580,8;8,-0.002734,-0.000005,0.000000,0.002734,1
1773654995.527945,12,14,2,2.822,2.577,4.934126,8;8,-0.003085,-0.000005,0.000000,0.003085,1
1773654995.970482,13,15,2,2.968,2.872,4.975566,8;8,-0.003429,-0.000006,0.000000,0.003429,1
1773654996.404189,14,16,2,3.027,2.917,5.625159,8;8,-0.003906,-0.000007,0.000000,0.003906,1
1773654996.845510,15,17,2,2.672,2.570,4.965056,8;8,-0.004675,-0.000008,0.000000,0.004675,1
1773654997.321122,16,18,2,2.604,2.507,4.945309,8;8,-0.004959,-0.000008,0.000000,0.004959,1
1773654997.325011,17,19,2,2.464,2.372,6.178649,8;8,-0.004959,-0.000008,0.000000,0.004959,1
1773654997.561472,18,20,2,2.723,2.629,7.319921,8;8,-0.005270,-0.000009,0.000000,0.005270,1
1773654997.565780,19,21,2,2.721,2.590,6.250606,8;8,-0.005270,-0.000009,0.000000,0.005270,1
1773654997.581472,20,22,2,2.695,2.594,7.435372,8;8,-0.005283,-0.000009,0.000000,0.005283,1
1773654997.950619,21,23,2,3.096,2.991,4.831788,8;8,-0.005797,-0.000010,0.000000,0.005797,1
1773654998.359398,22,24,2,2.714,2.618,9.109288,8;8,-0.005959,-0.000010,0.000000,0.005959,1
1773654998.843915,23,25,2,2.901,2.764,4.828457,8;8,-0.006567,-0.000011,0.000000,0.006567,1
1773654999.299316,24,26,2,2.728,2.626,4.871148,8;8,-0.006942,-0.000012,0.000000,0.006942,1
1773654999.743504,25,27,2,3.008,2.880,4.823709,8;8,-0.007345,-0.000012,0.000000,0.007345,1
1773655000.195306,26,28,2,2.714,2.624,4.867430,8;8,-0.007908,-0.000013,0.000000,0.007908,1
1773655000.637724,27,29,2,2.818,2.712,4.817931,8;8,-0.008337,-0.000014,0.000000,0.008337,1
1773655001.089517,28,30,2,2.719,2.614,4.862678,8;8,-0.008819,-0.000015,0.000000,0.008819,1
1773655001.529916,29,31,2,3.214,3.014,7.383438,8;8,-0.009222,-0.000016,0.000000,0.009222,1
1773655001.977342,30,32,2,2.764,2.638,4.857171,8;8,-0.009711,-0.000016,0.000000,0.009711,1
1773655002.381988,31,33,2,3.079,2.894,4.873061,8;8,-0.010153,-0.000017,0.000000,0.010153,1
1773655002.863353,32,34,2,2.643,2.550,5.484186,8;8,-0.010650,-0.000018,0.000000,0.010650,1
1773655003.263552,33,35,2,2.542,2.452,7.384883,8;8,-0.011002,-0.000019,0.000000,0.011002,1
1773655003.703793,34,36,2,2.554,2.448,4.866971,8;8,-0.011491,-0.000020,0.000000,0.011491,1
1773655003.709084,35,37,2,3.095,2.981,4.882713,8;8,-0.011491,-0.000020,0.000000,0.011491,1
1773655004.100997,36,38,2,2.461,2.369,4.918966,8;8,-0.011990,-0.000020,0.000000,0.011990,1
1773655004.105126,37,39,2,2.657,2.527,4.940560,8;8,-0.011990,-0.000020,0.000000,0.011990,1
1773655004.130901,38,40,2,2.727,2.627,4.936149,8;8,-0.012037,-0.000020,0.000000,0.012037,1
